City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
jamestown,US,42.1,-79.24,32.0,93,1,5.75,1610684981
puerto ayora,EC,-0.74,-90.35,73.99,93,47,4.0,1610684984
horta,PT,38.53,-28.63,62.31,87,95,29.48,1610684984
marcona,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
rikitea,BR,-17.71,-39.25,74.35,86,0,4.03,1610684985
caravelas,MA,32.3,-9.24,51.35,78,1,12.62,1610684986
alashtar,AR,-43.3,-65.1,71.06,58,100,8.12,1610684986
asfi,CV,15.13,-23.22,71.6,68,75,20.71,1610684986
rawson,US,57.05,-135.33,46.4,66,90,23.02,1610684987
vila do maio,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
sitka,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
rikitea,US,42.1,-79.24,32.0,93,1,5.75,1610684981
provideniya,IE,52.05,-9.52,38.28,84,99,4.14,1610684987
jamestown,US,47.5,-120.5,35.01,85,55,1.99,1610684988
killarney,ES,28.66,-17.92,62.6,72,90,9.22,1610684988
washington,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
los llanos de aridane,CA,66.15,-65.71,-6.3,71,0,2.08,1610684988
rikitea,BR,-30.18,-50.21,72.3,82,85,18.34,1610684988
pangnirtung,BR,-24.79,-50.01,62.22,94,61,9.95,1610684989
cidreira,PT,38.52,-28.7,63.28,85,93,31.52,1610684989
castro,EC,-0.74,-90.35,73.99,93,47,4.0,1610684984
ribeira grande,SL,7.53,-12.51,76.5,91,14,3.15,1610684989
puerto ayora,CA,62.46,-114.35,1.4,85,75,3.51,1610684990
bonthe,RU,45.09,133.51,10.26,95,100,4.63,1610684990
yellowknife,US,55.34,-131.65,44.6,100,90,21.85,1610684990
kirovskiy,SO,2.04,45.34,77.45,78,90,18.37,1610684990
ketchikan,AR,-54.8,-68.3,46.4,71,75,11.5,1610684990
mogadishu,CA,47.67,-52.73,33.01,93,90,9.22,1610684991
ushuaia,PL,51.04,21.07,24.01,83,100,8.93,1610684991
torbay,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
starachowice,PA,9.55,-79.65,79.0,99,100,8.34,1610684991
rikitea,ML,13.57,-8.03,65.86,24,6,11.3,1610684991
portobelo,PT,38.7,-9.42,54.0,95,68,12.37,1610684992
kolokani,TO,-19.8,-174.35,86.0,79,40,5.75,1610684822
cascais,CA,65.28,-126.83,-5.8,77,1,5.75,1610684811
tumannyy,US,19.73,-155.09,77.0,69,1,4.61,1610684807
pangai,US,37.46,-122.43,57.2,93,90,5.75,1610684993
norman wells,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
hilo,US,22.08,-159.32,75.2,83,40,6.91,1610684993
half moon bay,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
atuona,IL,31.61,34.76,53.01,100,66,11.79,1610684994
kapaa,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
rikitea,US,22.08,-159.32,75.2,83,40,6.91,1610684993
gat,CA,70.47,-68.59,-9.4,84,90,2.3,1610684811
rikitea,AR,-45.87,-67.5,62.6,88,75,6.91,1610684821
kapaa,CK,-21.21,-159.78,84.2,70,90,9.22,1610684995
tsihombe,US,33.19,-82.53,42.8,75,1,4.61,1610684995
clyde river,AR,-54.8,-68.3,46.4,71,75,11.5,1610684990
comodoro rivadavia,MG,-23.72,44.38,81.18,65,0,6.08,1610684996
avarua,US,71.29,-156.79,-11.2,70,1,12.66,1610684996
taolanaro,NA,-26.65,15.16,63.77,88,94,2.04,1610684996
avera,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
