City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
ponta do sol,32.67,55.4,58,40,6.91
nome,64.5,12.2,79,40,8.05
hermanus,-34.42,71.01,86,83,10.0
elko,41.0,34.0,69,100,5.73
atuona,-9.8,77.76,78,73,15.5
ushuaia,-54.8,42.8,75,20,10.36
vaini,-21.2,82.4,83,75,6.91
port elizabeth,-33.92,68.0,100,90,6.91
belmonte,-15.86,77.0,78,75,5.75
rikitea,-23.12,78.17,76,0,17.07
tlahualilo,71.29,-0.4,78,1,26.46
scottsburgh,-21.2,82.4,83,75,6.91
barrow,-33.93,75.0,73,0,8.05
vaini,-3.28,77.0,85,52,5.91
cape town,22.08,73.4,83,1,5.75
trairi,-23.12,78.17,76,0,17.07
kapaa,27.67,57.2,67,20,2.3
rikitea,39.05,59.79,77,0,6.38
patan,68.22,-4.0,84,100,2.3
lagoa,25.29,70.02,23,0,2.95
aklavik,-21.2,82.4,83,75,6.91
chabahar,-33.93,75.0,73,0,8.05
vaini,68.87,21.0,92,0,7.2
cape town,9.56,61.03,47,59,18.28
sjovegan,-22.12,69.01,87,100,4.36
hargeysa,0.57,70.41,94,31,3.0
henties bay,14.92,81.25,65,95,8.59
makokou,1.0,70.81,98,98,2.01
kavali,-16.48,81.59,76,100,19.71
amapa,-5.79,77.0,94,75,1.14
faanui,-34.57,66.99,72,0,4.61
natal,14.35,82.99,69,75,5.75
lujan,59.33,-16.01,87,45,3.85
san pedro,5.41,86.0,58,20,6.91
vaitupu,63.44,43.18,88,100,47.09
yurla,-23.35,85.41,62,1,3.2
georgetown,-37.62,51.76,85,8,13.96
vestmannaeyjar,34.74,47.16,45,0,0.6
vangaindrano,5.41,86.0,58,20,6.91
lebu,-20.52,80.6,83,75,11.5
taybad,-0.6,82.11,79,87,19.64
georgetown,54.99,35.6,87,20,14.97
souillac,22.08,73.4,83,1,5.75
hithadhoo,-21.14,75.07,88,99,2.77
guderup,40.52,19.4,78,40,2.13
kapaa,5.41,86.0,58,20,6.91
nioaque,68.22,-4.0,84,100,2.3
craig,-37.62,51.76,85,8,13.96
georgetown,30.58,48.51,36,0,0.81
aklavik,22.08,73.4,83,1,5.75
lebu,-8.26,73.9,89,61,3.36
umzimvubu,37.98,54.0,76,75,1.43
pishin,-38.55,58.46,41,0,9.51
kapaa,12.15,77.0,83,20,12.66
conceicao do araguaia,29.42,35.6,86,1,5.61
concord,-38.0,60.01,71,0,6.91
necochea,66.04,19.4,73,0,6.91
kralendijk,-46.19,75.72,49,29,3.53
san antonio,-23.12,78.17,76,0,17.07
mar del plata,37.73,59.0,94,75,6.91
husavik,49.78,24.8,100,90,9.22
mataura,47.67,30.0,93,90,8.05
rikitea,37.96,54.0,76,1,3.44
ponta delgada,22.89,61.0,48,83,10.0
chapais,35.15,57.2,21,1,13.8
torbay,-38.0,60.01,71,0,6.91
garden acres,64.25,38.03,81,100,11.34
cabo san lucas,-0.22,76.48,75,56,1.39
bullhead city,48.96,24.87,97,100,11.52
marcona,-23.12,78.17,76,0,17.07
mar del plata,-22.96,69.01,83,90,6.91
hofn,22.08,73.4,83,1,5.75
boende,14.69,62.6,88,68,13.8
bolungarvik,47.67,30.0,93,90,8.05
oleksandrivka,-21.21,80.6,78,75,10.36
rikitea,-0.61,78.31,85,95,8.93
walvis bay,-23.12,78.17,76,0,17.07
kapaa,32.81,33.8,86,1,3.44
dakar,65.61,30.2,93,90,42.57
torbay,-16.48,81.59,76,100,19.71
avarua,14.4,58.41,36,0,6.85
salinopolis,22.93,71.8,20,0,4.0
halalo,-5.18,73.33,98,92,2.55
rikitea,-23.12,78.17,76,0,17.07
mineral wells,-53.15,44.6,70,90,6.91
tasiilaq,-11.1,69.87,89,100,6.26
faanui,-21.21,80.6,78,75,10.36
marzuq,-9.8,77.76,78,73,15.5
nizwa,32.67,55.4,58,40,6.91
jutai,-16.48,81.59,76,100,19.71
rikitea,37.1,35.6,30,1,8.05
punta arenas,52.99,50.0,97,100,5.01
hualmay,-23.12,78.17,76,0,17.07
avarua,33.97,54.0,70,0,4.61
atuona,18.93,69.44,57,28,4.72
ponta do sol,38.69,55.4,47,75,14.97
faanui,-20.33,77.0,83,75,4.61
saint george,57.79,30.2,100,90,7.78
athy,58.81,12.2,92,40,3.44
rikitea,40.6,61.0,94,90,23.02
yabrud,-46.19,75.72,49,29,3.53
armeria,42.1,27.0,100,90,9.19
talas,22.29,61.0,35,0,1.99
vila velha,21.12,78.85,30,14,8.32
kodiak,22.08,73.4,83,1,5.75
fort nelson,-21.21,80.6,78,75,10.36
fortuna,-4.08,74.14,96,100,1.86
mataura,9.9,67.93,28,0,5.08
jamestown,41.79,28.4,50,1,16.11
victoria,49.68,32.0,80,100,10.36
mangrol,37.46,54.0,82,1,0.85
kapaa,22.89,61.0,48,83,10.0
avarua,51.08,41.0,86,38,4.61
coari,19.73,73.4,78,1,5.75
wawa,-10.75,69.42,90,100,4.65
rawlins,77.48,5.88,89,100,4.07
hearst,-23.12,78.17,76,0,17.07
half moon bay,-45.58,44.6,81,0,4.61
cabo san lucas,31.46,36.0,80,1,8.05
canmore,70.47,-14.8,84,90,6.91
hilo,34.74,47.16,45,0,0.6
barranca,61.94,32.0,59,20,12.66
qaanaaq,17.02,73.4,31,0,19.57
rikitea,-24.79,65.34,98,100,6.85
coihaique,20.89,75.2,73,20,10.36
san angelo,-6.64,70.12,96,56,1.19
clyde river,-31.73,70.0,73,0,5.01
taybad,-3.0,69.8,83,75,1.74
maloy,-21.2,82.4,83,75,6.91
salalah,-0.74,75.0,93,58,1.01
castro,-0.9,73.69,88,48,12.1
kahului,18.39,46.4,70,20,2.71
sao felix do xingu,-21.36,84.2,79,40,9.22
parana,19.73,73.4,78,1,5.75
misasi,54.11,28.2,99,100,5.1
vaini,57.79,30.2,100,90,7.78
puerto ayora,-23.12,78.17,76,0,17.07
puerto baquerizo moreno,22.08,73.4,83,1,5.75
faya,60.72,28.4,80,90,16.11
saint-philippe,54.63,48.99,97,100,11.99
hilo,-33.93,75.0,73,0,8.05
suwalki,22.08,73.4,83,1,5.75
kodiak,48.65,28.99,86,100,5.75
rikitea,51.23,16.84,90,35,6.51
kapaa,40.6,61.0,94,90,23.02
attawapiskat,-30.18,71.67,78,93,10.27
barentsburg,58.81,12.2,92,40,3.44
whitehorse,-21.34,84.2,79,40,9.22
killybegs,38.52,60.64,75,3,4.36
cape town,-23.12,78.17,76,0,17.07
vaitupu,-22.97,75.6,86,39,23.51
kapaa,27.98,55.69,39,0,5.88
bonavista,-34.53,68.0,88,96,11.5
saint-augustin,-33.93,75.0,73,0,8.05
fortuna,51.55,48.2,93,75,11.5
cidreira,63.44,43.18,88,100,47.09
fort nelson,66.56,-0.11,88,0,14.9
saint-pierre,-0.74,75.0,93,58,1.01
ribeira grande,66.03,-10.82,86,0,8.23
rikitea,-7.91,80.92,81,78,16.73
arraial do cabo,72.79,13.55,96,100,15.61
guerrero negro,-25.17,86.23,54,40,6.13
bredasdorp,-25.4,62.64,77,37,2.89
cape town,-6.23,52.11,90,77,0.74
skibbereen,-0.74,75.0,93,58,1.01
vaitupu,57.05,-20.92,88,5,3.8
vestmannaeyjar,-21.2,82.4,83,75,6.91
aksarka,5.41,86.0,58,20,6.91
puerto ayora,19.73,73.4,78,1,5.75
inta,55.34,37.4,93,90,3.44
kilindoni,42.1,27.0,100,90,9.19
bossembele,-22.97,75.6,86,39,23.51
upernavik,-23.86,80.6,89,40,2.3
beloha,41.37,30.99,80,90,1.92
taltal,-21.36,84.2,79,40,9.22
chachapoyas,10.57,81.45,68,100,6.42
puerto ayora,48.65,28.99,86,100,5.75
sukhobezvodnoye,65.61,30.2,93,90,42.57
vaini,-8.68,66.99,100,100,1.63
georgetown,-34.0,69.01,93,97,5.99
hilo,59.43,-16.82,86,35,3.83
ketchikan,37.83,43.0,76,100,17.45
jamestown,43.06,30.2,100,90,8.95
arraial do cabo,-9.8,77.76,78,73,15.5
inhambane,30.48,57.34,48,30,1.57
bethel,29.7,44.6,70,90,3.38
saint-philippe,38.04,30.0,94,0,4.41
illoqqortoormiut,15.52,82.4,61,90,2.3
kavaratti,72.79,13.55,96,100,15.61
bonavista,-23.12,78.17,76,0,17.07
tasiilaq,11.76,53.1,39,0,3.42
mahenge,5.38,76.8,86,99,12.39
tsihombe,60.72,28.4,80,90,16.11
kruisfontein,-21.2,82.4,83,75,6.91
attawapiskat,15.0,59.9,29,45,3.62
gari,-38.27,65.12,65,99,8.23
nigde,-0.36,81.01,68,2,19.01
oktyabrskoye,62.46,8.6,85,75,8.05
atuona,47.67,30.0,93,90,8.05
san quintin,-23.12,78.17,76,0,17.07
morgan city,22.08,73.4,83,1,5.75
andujar,26.54,73.67,72,99,7.23
aliaga,63.37,-14.48,85,62,3.04
upernavik,7.53,77.11,87,29,3.69
rikitea,38.52,60.64,75,3,4.36
dutse,-28.66,72.72,85,82,10.4
sinnamary,-37.62,51.76,85,8,13.96
whitehorse,68.56,32.0,55,0,16.11
vaini,61.13,-6.72,91,99,8.95
douentza,64.75,5.0,85,90,13.8
codrington,18.42,78.01,88,8,4.0
kismayo,-15.2,71.47,74,75,4.07
mys shmidta,41.11,33.67,90,89,3.44
yellowknife,-34.42,71.01,86,83,10.0
torbay,13.47,60.19,32,0,8.93
bolshegrivskoye,-9.8,77.76,78,73,15.5
rikitea,38.44,42.51,62,0,10.11
barentsburg,41.04,44.6,93,75,12.66
taolanaro,66.15,-5.4,82,48,4.25
vaitupu,19.73,73.4,78,1,5.75
grand river south east,50.1,21.2,86,1,5.75
kapaa,32.53,56.71,64,15,19.64
marsh harbour,70.47,-14.8,84,90,6.91
blagoyevo,22.08,73.4,83,1,5.75
kazalinsk,14.2,59.9,34,0,4.5
bonthe,-45.58,44.6,81,0,4.61
ribeira grande,47.6,30.0,46,100,5.41
sao borja,22.89,61.0,48,83,10.0
lebu,11.28,77.4,48,0,16.89
stokmarknes,42.1,27.0,100,90,9.19
lokosovo,42.1,27.0,100,90,9.19
skelleftea,-0.74,75.0,93,58,1.01
road town,52.63,32.0,93,100,4.61
namibe,77.48,5.88,89,100,4.07
ardahan,-33.59,68.0,97,98,1.01
hermanus,37.1,35.6,30,1,8.05
adre,29.98,46.2,45,0,6.96
atuona,-16.92,76.66,91,92,1.32
baherden,3.87,72.59,89,97,3.29
istanbul,-38.55,58.46,41,0,9.51
pangnirtung,-38.95,69.39,20,0,10.65
hilo,19.73,73.4,78,1,5.75
sioux lookout,-22.27,78.57,64,11,18.25
tukrah,-19.98,82.99,76,33,10.0
okandja,64.38,-7.8,83,100,9.35
clyde river,-18.06,67.68,55,100,2.91
kapaa,-0.6,82.11,79,87,19.64
kutum,26.33,41.0,100,0,2.66
coihaique,57.08,30.2,93,0,1.14
bay roberts,26.54,73.67,72,99,7.23
cabo san lucas,-17.53,80.6,69,40,3.44
bubaque,22.89,61.0,48,83,10.0
jamestown,38.52,60.64,75,3,4.36
jamestown,22.08,73.4,83,1,5.75
puerto ayora,-24.79,65.34,98,100,6.85
norwich,21.35,77.0,73,90,9.22
qaanaaq,-23.12,78.17,76,0,17.07
port alfred,77.48,5.88,89,100,4.07
saint george,-23.86,80.6,89,40,2.3
cumpas,-33.93,75.0,73,0,8.05
nsanje,64.5,12.2,79,40,8.05
inirida,18.69,61.79,31,0,14.23
necochea,48.38,48.2,93,90,5.75
neuquen,-0.74,75.0,93,58,1.01
hilo,62.71,-16.31,84,66,2.46
mathathane,64.84,-2.2,78,75,2.3
cap malheureux,-21.21,80.6,78,75,10.36
provideniya,-9.8,77.76,78,73,15.5
opuwo,50.63,26.6,68,5,4.61
hithadhoo,69.22,21.2,79,75,9.22
buraydah,-34.42,71.01,86,83,10.0
kingussie,30.69,62.58,23,0,5.12
marsh harbour,15.85,74.7,67,0,3.74
tiarei,-20.01,82.99,76,34,10.0
cabo san lucas,31.89,42.8,75,90,4.61
illoqqortoormiut,41.37,30.99,80,90,1.92
ribeira grande,58.81,12.2,92,40,3.44
kapaa,-46.19,75.72,49,29,3.53
castro,38.07,53.01,93,75,0.13
makakilo city,24.7,69.8,100,0,2.3
rikitea,55.74,28.4,100,75,4.61
qaanaaq,-20.52,80.6,83,75,11.5
inhambane,-5.12,72.73,93,98,0.94
cape town,31.61,68.0,40,100,4.0
nome,67.67,32.0,64,40,6.91
bilma,36.88,32.0,100,1,4.61
plouzane,71.29,-0.4,78,1,26.46
taolanaro,27.98,55.69,39,0,5.88
puerto ayora,-0.74,75.0,93,58,1.01
troitsko-pechorsk,65.28,-7.6,77,90,3.44
fairbanks,57.79,30.2,100,90,7.78
avarua,-0.74,75.0,93,58,1.01
atuona,-21.34,84.2,79,40,9.22
gimli,-0.74,75.0,93,58,1.01
ilulissat,37.35,17.6,73,1,9.22
hermanus,11.67,65.93,26,16,3.2
toliary,22.68,60.71,29,83,15.46
ginda,43.27,30.99,100,9,1.01
puerto escondido,21.5,77.0,94,90,4.07
grand gaube,-25.4,62.64,77,37,2.89
eufaula,29.95,42.01,81,75,4.61
bethel,-23.12,78.17,76,0,17.07
fort nelson,57.79,30.2,100,90,7.78
mataura,-21.36,84.2,79,40,9.22
marin,42.1,27.0,100,90,9.19
andros town,-21.21,80.6,78,75,10.36
thompson,63.84,39.2,87,90,42.57
souillac,-30.18,71.67,78,93,10.27
novo aripuana,-21.21,80.6,78,75,10.36
gat,-33.02,71.6,100,90,3.44
sorland,22.93,71.8,20,0,4.0
sikeston,-23.12,78.17,76,0,17.07
barrow,46.94,28.4,93,54,1.14
guerrero negro,-9.8,77.76,78,73,15.5
puerto ayora,22.24,75.0,28,28,11.03
norman wells,39.18,30.0,74,1,7.43
kodiak,62.46,8.6,85,75,8.05
